OBS,Y,N,P,I
1,107919,3,65044,13240
2,118866,5,101376,22554
3,98579,7,124989,16916
4,122015,2,55249,20967
5,152827,3,73775,19576
6,91259,5,48484,15039
7,123550,8,138809,21857
8,160931,2,50244,26435
9,98496,6,104300,24024
10,108052,2,37852,14987
11,144788,3,66921,30902
12,164571,4,166332,31573
13,105564,3,61951,19001
14,102568,5,100441,20058
15,103342,2,39462,16194
16,127030,5,139900,21384
17,166755,6,171740,18800
18,125343,6,149894,15289
19,121886,3,57386,16702
20,134594,6,185105,19093
21,152937,3,114520,26502
22,109622,3,52933,18760
23,149884,5,203500,33242
24,98388,4,39334,14988
25,140791,3,95120,18505
26,101260,3,49200,16839
27,139517,4,113566,28915
28,115236,9,194125,19033
29,136749,7,233844,19200
30,105067,7,83416,22833
31,136872,6,183953,14409
32,117146,3,60457,20307
33,163538,2,65065,20111
