SALES,ADV,BONUS,MKTSHR,COMPET
963.5,374.27,230.98,33,202.22
893,408.5,236.28,29,252.77
1057.25,414.31,271.57,34,293.22
1183.25,448.42,291.2,24,202.22
1419.5,517.88,282.17,32,303.33
1547.75,637.6,321.16,29,353.88
1580,635.72,294.32,28,374.11
1071.5,446.86,305.69,31,404.44
1078.25,489.59,238.41,20,394.33
1122.5,500.56,271.38,30,303.33
1304.75,484.18,332.64,25,333.66
1552.25,618.07,261.8,34,353.88
1040,453.39,235.63,42,262.88
1045.25,440.86,249.68,28,333.66
1102.25,487.79,232.99,28,232.55
1225.25,537.67,272.2,30,273
1508,612.21,266.64,29,323.55
1564.25,601.46,277.44,32,404.44
1634.75,585.1,312.35,36,283.11
1159.25,524.56,292.87,34,222.44
1202.75,535.17,268.27,31,283.11
1294.25,486.03,309.85,32,242.66
1467.5,540.17,291.03,28,333.66
1583.75,583.85,289.29,27,313.44
1124.75,499.15,272.55,26,374.11
