Year,Exp on Imports,PDI
1959,22.325,350.5
1960,22.85,365.4
1961,22.7,381.8
1962,24.975,405.1
1963,26.15,425.1
1964,28.1,462.5
1965,31.525,498.1
1966,37.05,537.5
1967,39.9,575.3
1968,46.55,625
1969,50.5,674
1970,55.75,735.7
1971,62.35,801.8
1972,74.225,869.1
1973,91.175,978.3
1974,127.475,1071.60
1975,122.725,1187.40
1976,151.125,1302.50
1977,182.425,1435.70
1978,212.25,1608.30
1979,252.675,1793.50
1980,293.825,2009.00
1981,317.75,2246.10
1982,303.2,2421.20
1983,328.675,2608.40
1984,405.125,2912.00
1985,417.25,3109.30
1986,453.25,3285.10
1987,509.1,3458.30
1988,554.475,3748.70
1989,591.5,4021.70
1990,630.325,4285.80
1991,624.3,4464.30
1992,668.575,4751.40
1993,720.875,4911.90
1994,814.475,5151.80
1995,903.575,5408.20
1996,964.8,5688.50
1997,1056.9,5988.80
1998,1115.875,6395.90
1999,1251.75,6695.00
2000,1475.75,7194.00
2001,1399.85,7486.80
2002,1430.325,7830.10
2003,1540.15,8162.50
2004,1797.775,8680.90
2005,2025.125,9092.00
2006,2238.075,9629.10
